Date,Real Total Stock Return,Real Total Bonds Return
1886.01,0.027718198,0.027771761
1886.02,0.023024038,0.001756475
1886.03,-0.005217678,0.013836405
1886.04,0.002335272,0.013995801
1886.05,0.008845749,0.026834160
1886.06,0.062921797,0.014482100
1886.07,0.006125670,-0.010711450
1886.08,-0.001432391,-0.010544901
1886.09,0.029562384,0.001833715
1886.1,0.028785541,0.001844747
1886.11,0.028048673,0.001855779
1886.12,-0.034658590,-0.010351522
1887.01,-0.030985130,-0.021976249
1887.02,-0.015528569,-0.009898482
1887.03,0.026887786,0.001899901
1887.04,0.026308054,0.001910930
1887.05,0.020581897,0.001921959
1887.06,-0.013892669,0.013861196
1887.07,-0.009183911,0.014015035
1887.08,-0.033115542,-0.009972414
1887.09,0.002801446,0.014037355
1887.1,-0.041213407,-0.009950624
1887.11,0.011159068,-0.009800400
1887.12,-0.024679114,-0.021036129
1888.01,0.000019605,-0.009378621
1888.02,0.009698081,0.016130957
1888.03,-0.034011995,0.004567701
1888.04,0.019650680,0.016237020
1888.05,0.029645875,0.016356299
1888.06,-0.015496492,0.016484884
1888.07,0.017794796,-0.007306367
1888.08,0.025238327,0.004497885
1888.09,0.028492063,0.004483927
1888.1,-0.013566063,-0.007208364
1888.11,-0.028253441,-0.007091829
1888.12,-0.015426209,0.004442061
1889.01,0.059714368,0.040301850
1889.02,0.027310398,0.015169492
1889.03,-0.005191599,0.015315830
1889.04,0.001713231,0.003080612
1889.05,0.056425913,0.028155357
1889.06,0.020441729,0.003076494
1889.07,-0.016879236,0.003074436
1889.08,0.016718553,0.003072377
1889.09,0.014974826,-0.009312667
1889.1,-0.014822727,0.003068260
1889.11,-0.005851852,0.003066201
1889.12,-0.014349656,-0.009168791
1890.01,0.040092257,0.028138476
1890.02,-0.007744734,0.001451094
1890.03,-0.004072682,0.001466080
1890.04,0.024305556,0.001481064
1890.05,0.033159118,-0.010867504
1890.06,-0.003855279,0.001511029
1890.07,-0.003882915,0.001526010
1890.08,-0.055151135,-0.034228622
1890.09,-0.024856350,-0.010227469
1890.1,-0.041666667,0.001570945
1890.11,-0.046797575,0.025720361
1890.12,-0.019462137,0.001600896
1891.01,0.069039881,0.013831141
1891.02,0.003940946,-0.008931275
1891.03,-0.026355924,-0.008787738
1891.04,0.024874209,-0.008649609
1891.05,0.011565858,0.015093947
1891.06,0.007489380,0.027616773
1891.07,-0.000525622,0.015533483
1891.08,0.037386443,0.003147100
1891.09,0.098414651,0.015684430
1891.1,0.003439650,0.003144344
1891.11,0.000942503,0.015841443
1891.12,0.033968254,0.003141588
1892.01,0.048441937,0.029195641
1892.02,0.005192075,0.001959453
1892.03,0.041313237,0.028689525
1892.04,0.015129034,0.015522294
1892.05,0.003415619,0.001992531
1892.06,-0.001944943,0.002003556
1892.07,-0.022923195,-0.024355169
1892.08,0.004730276,-0.010987082
1892.09,-0.021426453,0.002036628
1892.1,0.023672445,0.002047651
1892.11,-0.025341007,-0.023309750
1892.12,-0.019592011,-0.010456628
1893.01,-0.015141787,-0.034139340
1893.02,-0.025969724,-0.008475798
1893.03,-0.009035825,0.027940919
1893.04,0.016211541,0.015851765
1893.05,-0.073238907,0.016002104
1893.06,-0.018771793,0.029185544
1893.07,-0.064854311,0.029859136
1893.08,0.021309986,0.044687221
1893.09,0.033654304,-0.036164146
1893.1,0.021049026,-0.009588637
1893.11,0.047374744,0.030197252
1893.12,-0.017349745,0.016996080
1894.01,0.011593806,0.031305188
1894.02,0.032927699,0.018893563
1894.03,0.064224533,0.033850187
1894.04,0.017677384,0.004712730
1894.05,-0.032944931,0.004697623
1894.06,-0.009280303,0.004682519
1894.07,-0.016384409,0.004667417
1894.08,0.012672853,-0.023647562
1894.09,0.005863834,-0.009315401
1894.1,0.000574448,0.033325436
1894.11,0.004095622,0.004607027
1894.12,0.009232575,0.019150520
1895.01,-0.007591085,0.004576845
1895.02,-0.010064706,0.001905710
1895.03,0.004077168,0.001915969
1895.04,0.003378545,-0.039819860
1895.05,0.044262038,-0.011789169
1895.06,0.009312583,-0.011592425
1895.07,0.021575687,0.015681765
1895.08,0.032446939,0.015883977
1895.09,0.009655532,0.001977511
1895.1,-0.011180844,0.001987766
1895.11,-0.030321053,0.001998021
1895.12,-0.042070064,0.016120375
1896.01,0.006248643,0.016333603
1896.02,0.060985630,0.018944945
1896.03,-0.012219101,0.004376495
1896.04,0.027577512,0.019134285
1896.05,0.013888800,0.019341760
1896.06,0.000250359,0.019554595
1896.07,-0.061261574,0.004325301
1896.08,-0.053149752,0.004312505
1896.09,0.056485127,0.004299710
1896.1,-0.003962881,-0.025250748
1896.11,0.041340024,-0.024419247
1896.12,-0.033105023,0.004261334
1897.01,0.033070626,0.033785081
1897.02,-0.005924171,0.003183733
1897.03,0.005980861,0.003180329
1897.04,-0.012930039,0.018150267
1897.05,0.023902072,0.018372376
1897.06,0.050245098,0.003170119
1897.07,0.048009368,0.003166716
1897.08,0.021933756,-0.040452807
1897.09,0.021957201,-0.025097930
1897.1,-0.015246195,0.017487836
1897.11,-0.032157676,0.003153102
1897.12,0.024731183,0.003149699
1898.01,0.030556140,0.003146296
1898.02,-0.013019296,-0.009599913
1898.03,-0.042008898,0.004533542
1898.04,-0.013858423,0.004517911
1898.05,-0.001255141,-0.061583513
1898.06,0.115664696,0.075225288
1898.07,0.021497490,0.018821141
1898.08,0.040572507,0.004455410
1898.09,0.001185958,0.004439790
1898.1,-0.017796261,0.004424173
1898.11,0.036218447,0.004408559
1898.12,0.050160073,-0.009753942
1899.01,0.079067847,0.004377336
1899.02,0.012084248,-0.025230052
1899.03,0.016937401,0.002231617
1899.04,0.001429594,-0.011307904
1899.05,-0.039040638,0.002238702
1899.06,-0.032863241,-0.011121471
1899.07,0.023770971,-0.010942131
